"","q1_2020_v2$member_casual","q1_2020_v2$day_of_week","q1_2020_v2$ride_length"
"1","casual","Sunday",5710.56650544135
"2","member","Sunday",949.340145701257
"3","casual","Monday",5818.34387672344
"4","member","Monday",778.628587116257
"5","casual","Tuesday",5832.35937159066
"6","member","Tuesday",692.03229694248
"7","casual","Wednesday",5132.6225725822
"8","member","Wednesday",699.547087234475
"9","casual","Thursday",8744.65744026496
"10","member","Thursday",693.232541431954
"11","casual","Friday",7907.88831392842
"12","member","Friday",757.324131468935
"13","casual","Saturday",6017.15601604278
"14","member","Saturday",929.989237310656
